0.5 2.0
b1 50 70
b2 30 50
b3 70 40
b4 90 90
b5 30 20
b6 30 100
b7 70 100
b8 10 50
b9 70 30
b10 90 50
b11 90 30
b12 30 20
b13 20 10
b14 30 80
b15 10 40
b16 60 80
b17 50 20
b18 100 30
b19 10 60
b20 10 10
b21 70 50
b22 50 60
b23 40 20
b24 10 40
b25 60 50
b26 80 20
b27 10 40
b28 50 30
b29 60 40
b30 70 80
b31 80 30
b32 10 50
b33 50 100
b34 30 10
b35 70 100
b36 20 50
b37 100 40
b38 90 80
b39 80 80
b40 20 100
b41 10 80
b42 50 70
b43 40 50
b44 40 10
b45 70 90
b46 60 80
b47 80 50
b48 60 60
b49 70 90
b50 10 30
b51 90 110
b52 70 40
b53 90 70
b54 10 60
b55 60 70
b56 80 100
b57 80 100
b58 60 30
b59 20 80
b60 40 60
b61 50 90
b62 90 90
b63 50 70
b64 60 70
b65 40 70
b66 50 30
b67 90 10
b68 20 20
b69 70 60
b70 100 80
b71 10 90
b72 40 60
b73 10 30
b74 20 50
b75 100 120
b76 70 60
b77 30 70
b78 20 50
b79 90 40
b80 70 50
b81 20 60
b82 30 40
b83 30 40
b84 30 40
b85 80 70
b86 90 60
b87 90 100
b88 10 90
b89 80 50
b90 90 60
b91 60 50
b92 100 80
b93 90 60
b94 70 90
b95 30 60
b96 40 10
b97 80 60
b98 70 80
b99 10 30
b100 100 100
