0.5 2.0
b1 23 494
b2 110 508
b3 213 453
b4 204 242
b5 478 144
b6 199 462
b7 360 113
b8 70 127
b9 207 416
b10 330 382
b11 242 90
b12 218 484
b13 116 151
b14 415 293
b15 137 228
b16 388 15
b17 387 314
b18 40 377
b19 109 160
b20 275 310
b21 411 49
b22 72 239
b23 483 184
b24 170 20
b25 122 63
b26 210 7
b27 173 66
b28 11 307
b29 285 552
b30 393 359
b31 240 536
b32 454 431
b33 397 415
b34 50 190
b35 488 96
b36 30 247
b37 247 67
b38 72 224
b39 98 271
b40 213 154
b41 280 413
b42 38 363
b43 188 64
b44 207 6
b45 193 409
b46 107 482
b47 406 112
b48 423 836
b49 495 64
b50 122 239
b51 298 48
b52 156 383
b53 371 23
b54 163 298
b55 96 512
b56 331 426
b57 313 401
b58 488 279
b59 158 120
b60 223 351
WOWOW 148 106
b62 212 5
b63 220 170
FAKER 155 125
b65 200 210
b66 322 41
b67 31 287
b68 260 1
b69 281 58
b70 158 456
b71 449 462
b72 113 500
b73 434 16
b74 318 321
b75 35 391
GOAT 321 68
b77 110 171
b78 213 210
b79 344 69
b80 394 197
TTTT 184 109
b82 402 225
b83 368 540
b84 265 539
b85 131 92
b86 252 675
b87 50 304
b88 458 734
b89 238 128
b90 470 837
b91 155 571
b92 151 204
b93 156 330
b94 461 65
b95 97 124
b96 1 307
b97 3 305
b98 192 235
b99 336 384
b100 276 293
b101 421 181
b102 490 249
b103 137 262
b104 186 255
wtf 241 57
b106 471 356
b107 238 567
b108 476 477
b109 245 717
b110 496 193
b111 408 255
b112 219 151
b113 62 338
b114 178 162
b115 311 525
huh 19 64
b117 301 319
b118 102 110
b119 68 308
b120 234 233
b121 271 231
b122 226 187
b123 389 34
b124 444 568
b125 417 684
HUHUH 438 478
b127 362 458
b128 408 888
b129 184 200
b130 459 231
b131 357 586
b132 29 69
b133 273 51
b134 366 239
b135 118 107
b136 384 204
b999 309 128
b138 261 430
b139 59 352
b140 320 250
b141 400 527
b142 23 459
b143 356 166
b144 312 143
b145 5 423
b146 251 198
b147 119 181
b148 66 434
b149 488 447
b150 13 263
b151 144 249
b152 74 166
b153 485 105
b154 18 138
b155 431 259
b156 367 157
b157 321 176
b158 281 421
b159 320 46
b160 372 82
b161 391 398
b162 363 464
b163 58 434
b164 311 206
b165 489 681
b166 322 152
b167 282 636
b168 429 342
b169 138 294
b170 106 120
b171 141 628
b172 303 14
b173 117 96
b174 113 197
b175 275 741
b176 2 262
b177 131 153
b178 131 248
b179 459 747
b180 119 61
b181 23 285
b182 250 562
b183 380 366
b184 359 745
b185 296 308
b186 106 232
b187 319 567
b188 483 136
b189 50 207
b190 437 791
b191 435 788
b192 216 72
b193 198 200
b194 148 408
b195 131 373
b196 67 335
b197 178 621
b198 399 866
b199 381 55
b200 237 396
