0.5 2.0
b1 111 465
b2 18 493
b3 237 431
b4 10 440
b5 19 145
b6 305 17
b7 452 10
b8 458 9
b9 362 426
b10 31 338
b11 149 455
b12 370 73
b13 132 204
b14 471 588
b15 373 822
b16 381 393
b17 244 363
b18 93 26
b19 488 305
b20 29 190
b21 438 86
b22 238 381
b23 268 270
b24 267 271
b25 67 107
b26 440 249
b27 461 100
b28 371 636
whut 3 376
b30 294 665
b31 184 66
b32 264 140
b33 389 451
b34 211 162
uuuuu 492 855
b36 113 167
b37 77 338
b38 160 27
b39 191 110
b40 388 56
?!?!? 416 438
b42 344 90
b43 220 80
b44 33 178
b45 123 361
b46 186 98
b47 232 238
b48 487 87
b49 102 69
AAAA 338 379
b51 467 582
b52 317 445
b53 320 157
GGGG 326 530
b55 271 11
b56 9 404
b57 353 264
b58 61 334
b59 36 197
b60 407 867
b61 30 351
b62 94 169
b63 452 70
b64 198 168
b65 20 69
b66 481 273
b67 447 285
b68 385 529
b69 132 543
b70 376 762
b71 171 332
b72 202 165
b73 207 337
b74 131 486
b75 437 152
b76 394 21
b77 418 197
b78 351 91
b79 236 60
b80 161 329
b81 430 759
b82 105 102
QWERT 420 346
b84 409 395
b85 164 180
b86 334 243
b87 440 450
b88 155 639
b89 189 75
b90 136 351
b91 297 692
b92 276 444
b93 94 180
GHG 439 60
b95 289 134
b96 257 236
b97 468 267
b98 485 166
b99 184 602
b100 366 568
b101 148 214
b102 109 490
b103 240 487
b104 173 91
b105 431 285
b106 314 109
b107 146 245
b108 455 492
b109 482 284
b110 156 54
b111 234 345
b112 213 125
b113 190 466
b114 316 402
b115 461 386
b116 347 91
b117 468 799
HUH? 188 250
b119 389 294
b120 211 79
b121 341 81
b122 52 102
LS 359 238
b124 482 305
b125 158 106
b126 217 140
b127 43 355
b128 409 405
b129 465 213
b130 377 74
b131 50 472
b132 328 809
b133 89 28
b134 247 226
b135 14 457
b136 341 157
b137 52 548
b138 50 34
b139 196 106
b140 257 172
b141 279 186
LBDD 455 148
b143 72 25
b144 377 166
b145 347 52
b146 361 643
b147 171 663
b148 170 354
b149 162 254
b150 311 466
b151 432 50
b152 484 375
b153 7 467
b154 197 418
b155 301 412
b156 65 201
b157 420 911
b158 84 288
b159 293 210
b160 230 685
b161 206 304
b162 314 420
b163 393 451
b164 311 154
b165 419 783
b166 483 168
b167 305 252
b168 479 347
GOOD 302 456
b170 496 624
b171 435 19
b172 73 280
b173 5 343
b174 438 56
b175 331 727
b176 463 307
b177 98 463
b178 395 355
b179 399 781
b180 381 838
b181 244 122
b182 55 233
b183 183 343
b184 246 207
b185 149 295
b186 263 182
b187 473 19
b188 65 433
1BGH2 111 324
b190 464 97
b191 389 117
b192 224 693
b193 425 318
b194 416 700
b195 25 176
b196 88 170
b197 102 24
b198 167 241
b199 461 355
b200 357 491
b201 145 40
b202 270 237
b203 175 290
b204 441 456
b205 160 380
b206 494 493
b207 91 359
b208 241 429
b209 441 635
b210 73 350
b211 223 128
b212 22 424
b213 143 17
b214 111 243
b215 455 268
b216 1 38
b217 233 193
b218 137 94
b219 453 472
b220 254 568
b221 194 190
b222 245 380
KJH 410 195
b224 163 497
b225 317 565
b226 375 219
b227 62 345
b228 161 218
b229 369 236
b230 492 38
b231 62 17
b232 16 209
b233 277 447
b234 65 49
b235 32 456
b236 135 32
b237 173 241
b238 280 291
b239 468 68
b240 485 724
b241 73 307
b242 285 14
b243 492 446
b244 364 501
b245 360 4
b246 369 180
b247 97 51
LN 56 396
b249 221 263
b250 209 4
b251 323 310
b252 404 1
b253 135 235
b254 83 154
b255 471 236
b256 87 39
b257 114 113
b258 79 419
b259 84 457
b260 339 100
b261 150 143
b262 346 367
b263 224 180
b264 461 149
b265 430 290
b266 270 158
b267 86 284
b268 425 236
b269 274 360
b270 450 185
b271 275 280
b272 465 576
b273 227 351
b274 453 757
b275 287 706
b276 446 375
b277 89 28
b278 216 123
b279 223 692
b280 417 27
b281 79 84
b282 134 71
b283 198 230
GOGO 287 489
b285 397 152
b286 366 247
b287 118 55
b288 268 617
b289 280 359
b290 184 366
b291 438 647
b292 394 233
b293 444 144
b294 385 856
b295 259 72
b296 498 977
b297 300 729
b298 271 132
b299 417 633
haha 352 329
